file,kind,old_id,new_id
assets/json/parts/hull.json,flashcard,flashcard_part_hull_2.10_a7d299ba,flashcard_part_hull_12.00_a7d299ba
assets/json/parts/hull.json,part,part_hull_2.20,part_hull_13.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_2.20_4dcd73c4,flashcard_part_hull_13.00_4dcd73c4
assets/json/parts/hull.json,part,part_hull_2.30,part_hull_14.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_2.30_0ac01b5a,flashcard_part_hull_14.00_0ac01b5a
assets/json/parts/hull.json,part,part_hull_2.40,part_hull_15.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_2.40_7834093a,flashcard_part_hull_15.00_7834093a
assets/json/parts/hull.json,part,part_hull_2.50,part_hull_16.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_2.50_5a74ec25,flashcard_part_hull_16.00_5a74ec25
assets/json/parts/hull.json,part,part_hull_2.60,part_hull_17.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_2.60_5de36517,flashcard_part_hull_17.00_5de36517
assets/json/parts/hull.json,part,part_hull_2.70,part_hull_18.00
assets/json/parts/hull.json,flashcard,flashcard_part_hull_2.70_cad59e64,flashcard_part_hull_18.00_cad59e64
assets/json/parts/rigging.json,part,part_rigg_1.20,part_rigg_03.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.20_35b0fe92,flashcard_part_rigg_03.00_35b0fe92
assets/json/parts/rigging.json,part,part_rigg_1.30,part_rigg_04.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.30_14f7054d,flashcard_part_rigg_04.00_14f7054d
assets/json/parts/rigging.json,part,part_rigg_1.40,part_rigg_05.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.40_9a3a3a94,flashcard_part_rigg_05.00_9a3a3a94
assets/json/parts/rigging.json,part,part_rigg_1.50,part_rigg_06.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.50_3133ae6d,flashcard_part_rigg_06.00_3133ae6d
assets/json/parts/rigging.json,part,part_rigg_1.60,part_rigg_07.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.60_bb5b0f0b,flashcard_part_rigg_07.00_bb5b0f0b
assets/json/parts/rigging.json,part,part_rigg_1.70,part_rigg_08.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.70_45f329ee,flashcard_part_rigg_08.00_45f329ee
assets/json/parts/rigging.json,part,part_rigg_1.80,part_rigg_09.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.80_5bf3d9fd,flashcard_part_rigg_09.00_5bf3d9fd
assets/json/parts/rigging.json,part,part_rigg_1.90,part_rigg_10.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_1.90_3e3fba1a,flashcard_part_rigg_10.00_3e3fba1a
assets/json/parts/rigging.json,part,part_rigg_2.10,part_rigg_11.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_2.10_bbcb36a0,flashcard_part_rigg_11.00_bbcb36a0
assets/json/parts/rigging.json,part,part_rigg_2.20,part_rigg_12.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_2.20_db0dc813,flashcard_part_rigg_12.00_db0dc813
assets/json/parts/rigging.json,part,part_rigg_2.30,part_rigg_13.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_2.30_e9e6a374,flashcard_part_rigg_13.00_e9e6a374
assets/json/parts/rigging.json,part,part_rigg_2.40,part_rigg_14.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_2.40_dace4426,flashcard_part_rigg_14.00_dace4426
assets/json/parts/rigging.json,part,part_rigg_2.50,part_rigg_15.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_2.50_be2a14bc,flashcard_part_rigg_15.00_be2a14bc
assets/json/parts/rigging.json,part,part_rigg_2.60,part_rigg_16.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_2.60_2139455e,flashcard_part_rigg_16.00_2139455e
assets/json/parts/rigging.json,part,part_rigg_2.70,part_rigg_17.00
assets/json/parts/rigging.json,flashcard,flashcard_part_rigg_2.70_cbc741a6,flashcard_part_rigg_17.00_cbc741a6
assets/json/parts/deck.json,part,part_deck_1.10,part_deck_03.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.10_240d567b,flashcard_part_deck_03.00_240d567b
assets/json/parts/deck.json,part,part_deck_1.20,part_deck_04.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.20_7373034f,flashcard_part_deck_04.00_7373034f
assets/json/parts/deck.json,part,part_deck_1.30,part_deck_05.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.30_15dfe4f2,flashcard_part_deck_05.00_15dfe4f2
assets/json/parts/deck.json,part,part_deck_1.40,part_deck_06.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.40_04b996e7,flashcard_part_deck_06.00_04b996e7
assets/json/parts/deck.json,part,part_deck_1.50,part_deck_07.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.50_d4c83aa2,flashcard_part_deck_07.00_d4c83aa2
assets/json/parts/deck.json,part,part_deck_1.60,part_deck_08.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.60_a6e0ed67,flashcard_part_deck_08.00_a6e0ed67
assets/json/parts/deck.json,part,part_deck_1.70,part_deck_09.00
assets/json/parts/deck.json,flashcard,flashcard_part_deck_1.70_f42eaa92,flashcard_part_deck_09.00_f42eaa92
assets/json/parts/deck.json,part,part_deck_1.80,part_deck_10.00
